City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tuktoyaktuk,69.4541,-133.0374,-14.8,76,75,14.97,CA,1676335851
84,lagoa,39.05,-27.9833,55.15,62,9,24.85,PT,1676335852
85,pangkalanbuun,-2.6833,111.6167,77.36,86,100,3.65,ID,1676335853
86,berbera,10.4396,45.0143,74.48,75,0,1.9,SO,1676335854
87,atambua,-9.1061,124.8925,75.4,89,100,6.71,ID,1676335855
88,hamilton,39.1834,-84.5333,50.99,44,0,6.91,US,1676335826
89,mahebourg,-20.4081,57.7,78.26,83,75,4.61,MU,1676335856
90,srednekolymsk,67.45,153.6833,-38.78,97,92,4.65,RU,1676335857
91,oranjestad,12.524,-70.027,76.95,83,20,17.27,AW,1676335858
92,tricase,39.9304,18.3553,38.55,73,96,12.15,IT,1676335859
93,cape town,-33.9258,18.4232,71.89,88,20,10.36,ZA,1676335825
94,saint anthony,45.0205,-93.218,37.29,73,0,11.5,US,1676335860
95,cidreira,-30.1811,-50.2056,77.76,83,0,17.43,BR,1676335861
96,severo-kurilsk,50.6789,156.125,25.93,92,100,10.09,RU,1676335862
97,ust-kulom,61.6864,53.6902,16.11,94,100,7.81,RU,1676335863
98,taos,36.4072,-105.5731,38.19,84,100,23.02,US,1676335864
99,butaritari,3.0707,172.7902,81.14,72,100,15.61,KI,1676335865
100,tshikapa,-6.4167,20.8,69.84,91,86,1.03,CD,1676335866
101,klaksvik,62.2266,-6.589,45.52,90,89,28.27,FO,1676335867
102,olafsvik,64.8945,-23.7142,40.96,82,100,29.89,IS,1676335868
103,sampit,-2.5333,112.95,79.11,80,77,3.53,ID,1676335869
104,pulandian,39.3953,121.9669,25.86,39,9,16.91,CN,1676335871
105,mufumbwe,-13.6833,24.8,60.33,92,100,3.33,ZM,1676335872
106,tiksi,71.6872,128.8694,-23.53,96,100,3.51,RU,1676335873
107,college,64.8569,-147.8028,-0.2,76,75,0.0,US,1676335716
108,nikolskoye,59.7035,30.7861,35.49,86,97,12.46,RU,1676335875
109,saint johnsbury,44.4192,-72.0151,37.42,72,100,2.24,US,1676335876
110,kemi,65.8596,24.8228,28.17,80,0,4.61,FI,1676335877
111,esperance,-33.8667,121.9,81.82,42,5,14.65,AU,1676335878
112,faanui,-16.4833,-151.75,82.4,74,17,14.14,PF,1676335880
