City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,qaanaaq,77.484,-69.3632,-4.36,55,56,4.83,GL,1675647943
85,luderitz,-26.6481,15.1594,61.3,95,80,4.5,NA,1675648219
86,port hardy,50.6996,-127.4199,44.78,81,75,4.61,CA,1675647934
87,karratha,-20.7377,116.8463,97.52,31,0,3.29,AU,1675648222
88,jiangkou,25.4872,119.1986,58.57,91,93,0.87,CN,1675648224
89,belize,17.25,-88.75,73.72,98,0,2.46,BZ,1675648226
90,mnogovershinnyy,53.9353,139.9242,-2.54,84,97,5.23,RU,1675648227
91,havre-saint-pierre,50.2334,-63.5986,12.2,85,100,3.44,CA,1675648229
92,muros,42.7762,-9.0603,46.09,77,5,7.25,ES,1675648230
93,saldanha,-33.0117,17.9442,64.26,92,0,7.94,ZA,1675648232
94,kaeo,-35.1,173.7833,68.04,89,100,5.95,NZ,1675648233
95,barrow,71.2906,-156.7887,-18.38,76,100,3.44,US,1675648235
96,beringovskiy,63.05,179.3167,-17.09,93,95,11.34,RU,1675648236
97,lebu,-37.6167,-73.65,60.67,89,1,17.02,CL,1675648084
98,esperance,-33.8667,121.9,82.35,40,62,16.42,AU,1675648187
99,deputatskiy,69.3,139.9,-36.62,99,97,5.03,RU,1675648240
100,nordborg,55.0573,9.7408,35.49,93,99,6.91,DK,1675648241
101,rivadavia,-33.1905,-68.4608,82.44,28,9,9.91,AR,1675648243
102,kavieng,-2.5744,150.7967,83.77,70,67,4.27,PG,1675648244
103,kavaratti,10.5669,72.642,80.76,72,12,7.27,IN,1675648246
104,dikson,73.5069,80.5464,0.09,96,100,3.49,RU,1675648247
105,sijunjung,-0.6876,100.9537,75.25,76,100,1.79,ID,1675648249
106,malinovoye ozero,51.6753,79.7825,16.32,97,100,3.02,RU,1675648250
107,tabou,4.423,-7.3528,78.66,85,100,7.02,CI,1675648252
108,swift current,50.2834,-107.8014,31.01,80,20,19.57,CA,1675648253
109,twin falls,42.3505,-114.6445,35.94,70,100,9.22,US,1675648254
110,atuona,-9.8,-139.0333,78.96,74,27,17.07,PF,1675648256
111,george town,5.4112,100.3354,78.73,94,40,4.61,MY,1675648257
112,sulmona,42.0479,13.9291,36.3,94,87,2.21,IT,1675648259
113,assiniboia,49.6334,-105.9845,35.42,69,88,16.11,CA,1675648239
114,rawson,-43.3002,-65.1023,63.39,62,80,17.85,AR,1675648258
115,the pas,53.8251,-101.2541,15.82,86,75,12.66,CA,1675648263
116,samana,19.2056,-69.3369,74.46,86,18,10.76,DO,1675648264
117,salinopolis,-0.6136,-47.3561,77.31,89,100,9.24,BR,1675648266
118,saskylakh,71.9167,114.0833,-43.24,100,96,3.91,RU,1675648227
119,santa isabel,-23.3156,-46.2214,72.7,95,99,4.47,BR,1675648268
120,nikolskoye,59.7035,30.7861,26.49,95,100,6.04,RU,1675648270
121,carnarvon,-24.8667,113.6333,81.12,63,0,17.43,AU,1675648271
122,zonguldak,41.25,31.8333,30.83,98,98,2.21,TR,1675648274
123,santa maria,-29.6842,-53.8069,69.1,83,0,2.3,BR,1675648275
124,tazovskiy,67.4667,78.7,-9.83,100,85,6.53,RU,1675648277
125,avarua,-21.2078,-159.775,78.85,83,75,8.05,CK,1675648278
126,bengkulu,-3.8004,102.2655,79.56,71,89,5.5,ID,1675648280
127,thompson,55.7435,-97.8558,6.96,85,100,4.61,CA,1675648281
128,envira,-7.3,-70.2167,69.85,99,81,0.34,BR,1675648283
129,batagay-alyta,67.8006,130.4114,-26.52,99,100,1.07,RU,1675648284
130,gimli,50.6336,-96.9907,15.82,86,55,16.11,CA,1675648287
131,santiago de cao,-7.9589,-79.2392,71.73,88,75,9.22,PE,1675648288
132,montorio al vomano,42.5831,13.6383,37.94,79,51,2.93,IT,1675648290
133,san carlos de bariloche,-41.1456,-71.3082,64.15,52,0,13.8,AR,1675648291
134,narsaq,60.9167,-46.05,14.22,81,72,11.68,GL,1675648293
135,pyu,18.4833,96.4333,74.93,44,13,3.89,MM,1675648295
136,ahipara,-35.1667,173.1667,68.67,93,94,4.14,NZ,1675648297
137,vazhiny,60.9644,34.0222,14.94,97,97,3.71,RU,1675648298
138,boa vista,2.8197,-60.6733,75.18,83,40,11.5,BR,1675648300
139,hermanus,-34.4187,19.2345,70.81,88,34,12.57,ZA,1675648182
140,norman wells,65.282,-126.8329,-14.76,76,100,0.0,CA,1675648302
141,henties bay,-22.116,14.2845,63.61,89,100,6.2,NA,1675648301
142,kruisfontein,-34.0033,24.7314,72.88,93,97,3.49,ZA,1675648287
143,puerto ayora,-0.7393,-90.3518,79.56,90,42,8.01,EC,1675648306
144,vao,-22.6667,167.4833,79.16,84,48,16.04,NC,1675648310
145,victoria,22.2855,114.1577,68.38,85,95,4.0,HK,1675648312
146,macusani,-14.0833,-70.4333,37.4,90,100,5.17,PE,1675648313
147,rocha,-34.4833,-54.3333,62.69,89,0,5.64,UY,1675648316
148,rio gallegos,-51.6226,-69.2181,55.45,71,40,13.8,AR,1675648317
149,cabo san lucas,22.8909,-109.9124,79.11,33,0,11.5,MX,1675648318
